"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.562893025E0,-2.418143749E-1,5.267243832E-2,9.603142738E0
3.572742025E0,-2.394201756E-1,6.464344263E-2,9.583989143E0
3.582776025E0,-2.454056740E-1,6.344634295E-2,9.589975357E0
3.592994025E0,-2.406172752E-1,6.464344263E-2,9.585186958E0
3.603237025E0,-2.322375625E-1,5.985504389E-2,9.586383820E0
3.612860025E0,-2.418143749E-1,5.267243832E-2,9.595960617E0
3.622808025E0,-2.370259613E-1,5.865794048E-2,9.598354340E0
3.633077025E0,-2.454056740E-1,5.985504389E-2,9.591172218E0
3.642870025E0,-2.454056740E-1,5.626374111E-2,9.587580681E0
3.652835025E0,-2.430114746E-1,7.062894851E-2,9.585186958E0
3.662865025E0,-2.418143749E-1,5.386953801E-2,9.599552155E0
3.672830025E0,-2.394201756E-1,5.985504389E-2,9.586383820E0
3.682844025E0,-2.442085743E-1,5.746084079E-2,9.585186958E0
3.692758025E0,-2.346317619E-1,5.506663769E-2,9.586383820E0
3.703015025E0,-2.442085743E-1,6.344634295E-2,9.586383820E0
3.712846025E0,-2.418143749E-1,6.344634295E-2,9.592369080E0
3.722793025E0,-2.370259613E-1,5.626374111E-2,9.594763756E0
3.733306025E0,-2.358288616E-1,6.584054977E-2,9.589975357E0
3.742943025E0,-2.477998734E-1,6.224924326E-2,9.594763756E0
3.752852025E0,-2.358288616E-1,6.224924326E-2,9.583989143E0
3.763366025E0,-2.382230759E-1,6.584054977E-2,9.583989143E0
3.773119025E0,-2.370259613E-1,5.147533491E-2,9.589975357E0
3.783108025E0,-2.346317619E-1,5.746084079E-2,9.581595421E0
3.792828025E0,-2.370259613E-1,5.985504389E-2,9.587580681E0
3.802774025E0,-2.382230759E-1,6.224924326E-2,9.598354340E0
3.812857025E0,-2.322375625E-1,5.506663769E-2,9.594763756E0
3.822776025E0,-2.382230759E-1,6.464344263E-2,9.587580681E0
3.832832025E0,-2.394201756E-1,5.746084079E-2,9.588777542E0
3.842860025E0,-2.454056740E-1,6.464344263E-2,9.587580681E0
3.852912025E0,-2.358288616E-1,5.865794048E-2,9.589975357E0
3.862804025E0,-2.394201756E-1,5.746084079E-2,9.592369080E0
3.872932025E0,-2.334346622E-1,6.105214357E-2,9.593565941E0
3.882943025E0,-2.334346622E-1,6.823474914E-2,9.583989143E0
3.892914025E0,-2.418143749E-1,5.267243832E-2,9.594763756E0
